name,kind,raw_start,raw_end,trim_start,trim_end,N,mean,std
Nothing(2),low,122,901,352,671,320,-0.0013340000000000001,0.004111324935744282
Nothing(2),high,1137,1885,1367,1655,289,0.9135570934256056,0.0030478293496706125
Nothing(2),low,2121,2901,2351,2671,321,-0.0017038629283489097,0.003964530950333551
Nothing(2),high,3136,3885,3366,3655,290,0.9133103448275862,0.002735179608935994
Nothing(2),low,4122,4901,4352,4671,320,-0.00248040625,0.00403508905993299
Nothing(2),high,5137,5885,5367,5655,289,0.9135778546712803,0.002691613950655219
Nothing(2),low,6121,6901,6351,6671,321,-0.002867476635514019,0.003778146145960165
Nothing(2),high,7137,7885,7367,7655,289,0.913854671280277,0.0027763236293775954
Nothing(2),low,8121,8901,8351,8671,321,-0.0023687850467289722,0.003972606915713622
Nothing(2),high,9137,9885,9367,9655,289,0.914089965397924,0.002891354990199942
