trim,mean_std
0,1.110839e-02
5,1.053952e-02
10,1.002200e-02
15,9.556836e-03
20,9.146151e-03
25,8.748156e-03
30,8.376767e-03
35,8.037511e-03
40,7.715507e-03
45,7.418430e-03
50,7.174104e-03
55,6.947083e-03
60,6.741792e-03
65,6.548528e-03
70,6.377605e-03
75,6.218780e-03
80,6.061965e-03
85,5.906863e-03
90,5.763499e-03
95,5.632934e-03
100,5.523796e-03
105,5.409611e-03
110,5.295257e-03
115,5.175472e-03
120,5.054369e-03
125,4.941610e-03
130,4.839808e-03
135,4.749987e-03
140,4.660617e-03
145,4.579569e-03
150,4.504868e-03
155,4.428153e-03
160,4.355536e-03
165,4.273303e-03
170,4.204067e-03
175,4.133564e-03
180,4.059852e-03
185,4.001196e-03
190,3.949350e-03
195,3.899190e-03
200,3.843810e-03
205,3.793284e-03
210,3.728612e-03
215,3.670940e-03
220,3.610473e-03
225,3.552157e-03
230,3.492128e-03
235,3.421128e-03
240,3.356293e-03
245,3.303932e-03
250,3.244929e-03
255,3.197023e-03
260,3.158032e-03
265,3.114613e-03
270,3.072468e-03
275,3.038798e-03
280,3.011369e-03
285,2.997836e-03
290,2.981259e-03
295,2.970441e-03
300,2.970209e-03
305,2.964974e-03
310,2.945466e-03
315,2.925018e-03
320,2.912522e-03
325,2.919317e-03
330,2.948166e-03
335,2.930058e-03
340,2.899448e-03
345,2.864686e-03
350,2.826175e-03
